15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,2
03-03-2020,2
04-03-2020,2
05-03-2020,2
06-03-2020,4
07-03-2020,4
08-03-2020,6
09-03-2020,19
10-03-2020,25
11-03-2020,31
12-03-2020,30
13-03-2020,60
14-03-2020,83
15-03-2020,104
16-03-2020,121
17-03-2020,156
18-03-2020,197
19-03-2020,269
20-03-2020,320
21-03-2020,392
22-03-2020,437
23-03-2020,500
24-03-2020,601
25-03-2020,701
26-03-2020,780
27-03-2020,913
28-03-2020,994
29-03-2020,1107
30-03-2020,1217
31-03-2020,1311
01-04-2020,1417
02-04-2020,1508
03-04-2020,1671
04-04-2020,1751
05-04-2020,1911
06-04-2020,2090
07-04-2020,2313
08-04-2020,2494
09-04-2020,2761
10-04-2020,2924
11-04-2020,3229
12-04-2020,3509
13-04-2020,3778
14-04-2020,3954
15-04-2020,4221
16-04-2020,4472
17-04-2020,4796
18-04-2020,5082
19-04-2020,5307
20-04-2020,5423
21-04-2020,5677
22-04-2020,5870
23-04-2020,6168
24-04-2020,6520
25-04-2020,6845
26-04-2020,7032
27-04-2020,7180
28-04-2020,7484
29-04-2020,7596
30-04-2020,7804
01-05-2020,8160
02-05-2020,8347
03-05-2020,8471
04-05-2020,8769
05-05-2020,9002
06-05-2020,9226
07-05-2020,9465
08-05-2020,9675
09-05-2020,10079
10-05-2020,10361
11-05-2020,10393
12-05-2020,10679
13-05-2020,11123
14-05-2020,11445
15-05-2020,11617
16-05-2020,12025
17-05-2020,12237
18-05-2020,12495
19-05-2020,12808
20-05-2020,13372
21-05-2020,14046
22-05-2020,14413
23-05-2020,15145
24-05-2020,15497
25-05-2020,15717
26-05-2020,15870
27-05-2020,16321
28-05-2020,16802
29-05-2020,17204
30-05-2020,17185
31-05-2020,17552
01-06-2020,17662
02-06-2020,17951
03-06-2020,18129
04-06-2020,18205
05-06-2020,18308
06-06-2020,18806
07-06-2020,18837
08-06-2020,19246
09-06-2020,19739
10-06-2020,20228
11-06-2020,20659
12-06-2020,21145
13-06-2020,21553
14-06-2020,21612
15-06-2020,21973
16-06-2020,22466
17-06-2020,22912
18-06-2020,23625
19-06-2020,24081
20-06-2020,24717
21-06-2020,25022
22-06-2020,25610
23-06-2020,26120
24-06-2020,26778
25-06-2020,27118
26-06-2020,27411
27-06-2020,28183
28-06-2020,28320
29-06-2020,28487
30-06-2020,28703
01-07-2020,29241
02-07-2020,29740
03-07-2020,30091
04-07-2020,30834
05-07-2020,31473
06-07-2020,31798
07-07-2020,32132
08-07-2020,33135
09-07-2020,34668
10-07-2020,35349
11-07-2020,35764
12-07-2020,36455
13-07-2020,36636
14-07-2020,37226
15-07-2020,37247
16-07-2020,37450
17-07-2020,37339
18-07-2020,37598
19-07-2020,36977
20-07-2020,36998
21-07-2020,37083
22-07-2020,37037
23-07-2020,36917
24-07-2020,36808
25-07-2020,37218
26-07-2020,37342
27-07-2020,37292
28-07-2020,36611
29-07-2020,37319
30-07-2020,36986
31-07-2020,37338
01-08-2020,36824
02-08-2020,37244
03-08-2020,37595
04-08-2020,37618
05-08-2020,37530
06-08-2020,37587
07-08-2020,38076
08-08-2020,38539
09-08-2020,38721
10-08-2020,39082
11-08-2020,39242
12-08-2020,39017
13-08-2020,39290
14-08-2020,39484
15-08-2020,40076
16-08-2020,40296
17-08-2020,40705
18-08-2020,40460
19-08-2020,39942
20-08-2020,40119
21-08-2020,39917
22-08-2020,39706
23-08-2020,39355
24-08-2020,37593
25-08-2020,38134
26-08-2020,37812
